label,source_file,jerk_x_mean,jerk_x_std,jerk_x_rms,jerk_y_mean,jerk_y_std,jerk_y_rms,jerk_z_mean,jerk_z_std,jerk_z_rms
aruki,aruki1_windowed_all.csv,-0.019711339876429052,2.8184260779608046,2.811440283211543,-8.808216364307953e-05,2.0570624393675336,2.0519133407183388,-0.009519721918660467,1.8449881419609777,1.8403945128320034
aruki,aruki10_windowed_all.csv,-0.009148546785893913,2.723734122169501,2.716534324716423,0.005843787981972486,2.5934537391375807,2.5865902522749304,0.03979383492846711,1.1291473191343866,1.1268590529350928
aruki,aruki11_windowed_all.csv,-0.009827044072607906,2.2841361658508985,2.2793738130853938,-0.019543141891594305,2.3948416091901006,2.3899061356545306,0.019419254230862843,1.7695921193174493,1.765992935631678
aruki,aruki12_windowed_all.csv,0.004401903189783539,2.6115483638843617,2.605296867965069,-0.022978985125855538,2.5006595653060364,2.4947757830991786,0.013416746123487125,1.3529185282211327,1.3497446844337309
aruki,aruki2_windowed_all.csv,-0.02558234671966959,3.222651487455656,3.2146865559515816,0.017755095564555682,2.1250004079479217,2.1197556093871883,-0.018372630913091798,1.8839895733202574,1.8793635045898427
aruki,aruki3_windowed_all.csv,-0.033206389991378045,3.219424073914412,3.2119212877740964,0.024772662585306228,2.075307988028097,2.0705090839966243,-0.0141877209054218,1.8418629932775303,1.837527145214774
aruki,aruki4_windowed_all.csv,-0.04445820811601165,3.1548130759436277,3.147606642168398,0.01818420397261453,1.931616694865401,1.9270979148117244,-0.0073786206813624645,1.5851455563093135,1.581384110591672
aruki,aruki5_windowed_all.csv,-0.027752868157838884,2.49118723709792,2.4843738856165025,0.002200616694062454,3.674256936838329,3.663979935779142,-0.022449161489442652,1.9015757188130546,1.89638949495635
aruki,aruki6_windowed_all.csv,-0.041236671184653975,2.528638909119384,2.5222776274592205,0.025222262760612124,2.523162258002016,2.5166047689208466,0.017813952142119595,1.6324173593321616,1.6281905210425054
aruki,aruki7_windowed_all.csv,-0.027752868157838884,2.49118723709792,2.4843738856165025,0.002200616694062454,3.674256936838329,3.663979935779142,-0.022449161489442652,1.9015757188130546,1.89638949495635
aruki,aruki8_windowed_all.csv,0.019723376623561238,2.1420132481296985,2.136112648846803,0.004107469029630455,2.064285134983022,2.058514997452828,-0.0024415558156562324,2.6536270895648344,2.6462054682740934
aruki,aruki9_windowed_all.csv,0.014952515479378512,2.5253086795133934,2.5190000702974946,0.008732380845368495,2.1023532471948765,2.0970824809945503,-0.0075213002563720936,0.8725583060600781,0.8703956846438756
kudari,kudari1_windowed_all.csv,-0.018376374026871565,6.283075437850429,6.256868173524256,0.04152986936412524,5.988714652802925,5.963854072337792,0.0002605689025041528,2.344498158375937,2.3347089938010996
kudari,kudari10_windowed_all.csv,-0.016092834906133866,3.356355293149073,3.3458227712319495,0.0024182679903244453,3.9166296207705833,3.9042944977255245,-0.010252807676992767,1.8801402453028533,1.8742465725295394
kudari,kudari11_windowed_all.csv,-0.057818661040602064,3.539734107318915,3.5283095788187193,0.0303062362947708,3.579181989087701,3.5672798286002947,0.04899531463884621,1.9557292856418895,1.9497710798649686
kudari,kudari12_windowed_all.csv,-0.006029458080038115,3.309620574011201,3.2985012782401615,-0.01011920516883792,3.662071677238485,3.6497761858336206,0.005860348692588296,1.9493256955097322,1.9427821605013114
kudari,kudari2_windowed_all.csv,-0.11524753480286967,6.850685873649371,6.820449055975496,0.05703953296115725,5.892300069674759,5.865733076733938,0.04846279650957595,3.251367286305989,3.23691741239216
kudari,kudari3_windowed_all.csv,-0.09887993914390919,5.945995762586596,5.921994509537338,0.044462269810312254,5.524446858005525,5.50155984286633,0.010334380646397637,2.5654398825273574,2.55474908918563
kudari,kudari4_windowed_all.csv,-0.049158146256564464,6.358442353015878,6.331860670656207,0.07263926628083206,6.3553392075326816,6.328996627732678,0.0535384442212015,3.0127065466953886,3.0004990962195324
kudari,kudari5_windowed_all.csv,-0.006599740169498161,2.664057638187278,2.655675085298015,0.010775622792031333,3.2353394396812662,3.2251673701843804,-0.002817670251557161,2.003692881121247,1.9973840091424242
kudari,kudari6_windowed_all.csv,0.002678711965250579,4.343327984176902,4.327677129920815,-0.003416759091813547,6.0175805226310315,5.99589645076657,-0.010598715377249884,3.805123797682049,3.7914264093353838
kudari,kudari7_windowed_all.csv,-0.04531027557980914,3.3439714303077213,3.333039152974219,-0.00672609392373411,4.153094101205792,4.1391395464834275,-0.006075730416625094,3.507326737962139,3.4955426512605716
kudari,kudari8_windowed_all.csv,0.03778810280252662,4.985360895101475,4.966143966758777,-0.02056286375148687,6.4034169122182565,6.3785823244859605,0.002626535638061125,3.024851772150968,3.0131058753810533
kudari,kudari9_windowed_all.csv,0.023727857706629066,3.460621928869999,3.448232817271083,-0.010440554350394204,3.1346414744757576,3.1233628824419486,0.0071642603540922065,1.6347061827518368,1.6288310862405797
nobori,nobori1_windowed_all.csv,-0.001883328994441058,3.2847473595507894,3.272089868493179,-0.008726910398730721,2.144280541281209,2.136035214325448,0.012470217544831531,1.6621519937788198,1.6557937188664462
nobori,nobori10_windowed_all.csv,0.004059554090290706,2.9771667351296025,2.9683482569217343,0.0058506302646544875,2.495541407431422,2.4881540729934364,-0.0033426933601878503,1.4433482885691635,1.4390755738666223
nobori,nobori11_windowed_all.csv,-0.002945015224792971,2.794958268932466,2.7861567853626137,0.0036752603562235447,2.648587738600457,2.6402482672606324,-0.011126987006877857,1.7537845906880891,1.7482962550445849
nobori,nobori12_windowed_all.csv,-0.002342350524881447,2.7043209004809334,2.6958043508003677,0.00016882995974435664,2.6432582123351067,2.6349329743486103,0.046946623121999605,1.5868225333674966,1.5825211605723777
nobori,nobori2_windowed_all.csv,-0.08224627853192705,2.902883909510031,2.8928668140832,0.033934377878891815,2.292505134609682,2.283922896542397,-0.01519019186042675,1.9159452933767376,1.9086224952550053
nobori,nobori3_windowed_all.csv,-0.06547076165116245,3.510887733995614,3.4968413836412475,0.017536921308797433,2.5640991758228076,2.553453300049835,-0.03583020541220771,2.198822137242472,2.189934345649173
nobori,nobori4_windowed_all.csv,-0.05188365902744218,2.9527279892392193,2.941806981912729,0.020960265880437024,2.9103579685791026,2.8992184430092194,0.02019802411779564,1.682347867389245,1.6759865190720298
nobori,nobori5_windowed_all.csv,-0.011670552423336393,2.585104353704319,2.5742461102809746,0.0017458303587881967,3.5098880557819805,3.4951099501455842,-0.01638629884575914,1.8507583613845944,1.8430385060238814
nobori,nobori6_windowed_all.csv,-0.04391635772210334,2.4889487429954134,2.480368341910594,0.013913639651734,3.069727605777378,3.0586971342244618,0.02026176609747345,1.5936432779968288,1.588029666467194
nobori,nobori7_windowed_all.csv,-0.026540150661943582,2.2867344769548867,2.279202481261811,-0.0014452761884342397,2.879286960559236,2.869609021633645,0.007846033588387195,2.65240093588637,2.643496921001693
nobori,nobori8_windowed_all.csv,-0.006599740169498161,2.664057638187278,2.655675085298015,0.010775622792031333,3.2353394396812662,3.2251673701843804,-0.002817670251557161,2.003692881121247,1.9973840091424242
nobori,nobori9_windowed_all.csv,-0.02367626282205018,2.2386591164746763,2.2328544134002506,-0.005419055011322171,2.196730408906681,2.190917947086706,0.00020677574106659201,1.3488938217356394,1.34532060268262
